classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",,2.3,46.55,X-RAY DIFFRACTION,,Ammonium Sulfate  Sodium Acetate  Calcium chloride,5.9,1999,269,1.8,1C13,27085.89
OXIDOREDUCTASE,"VAPOR DIFFUSION, SITTING DROP",300,2.65,53.65,X-RAY DIFFRACTION,Protein,"(NH4)2SO4, PEG400, pH 7.5, VAPOR DIFFUSION, SITTING DROP, temperature 300K",7.5,1999,524,2,1C14,57691.79
APOPTOSIS,,,,,SOLUTION NMR,Protein,,,1999,97,,1C15,11099.71
IMMUNE SYSTEM,,,2.81,56.17,X-RAY DIFFRACTION,Protein,,,2000,1436,3.1,1C16,166670.73
MEMBRANE PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,1125,,1C17,118977.77
VIRAL PROTEIN,,,2.66,41.7,X-RAY DIFFRACTION,Protein,"ROD-SHAPED CRYSTALS WERE GROWN BY SITTING DROP VAPOR DIFFUSION METHOD. RESERVOIR SOLUTION CONTAINED 0.050M KCL, 0.01M MGCL2, 0.1M SODIUM CACODYLATE, 0.02M IMIDAZOLE, PH 7.2, 10% PEG3350, AND 20% (V/V) ETHYLENE GLYCOL. THE DROP CONTAINED 1:1 MIXTURE OF RESERVOIR SOLUTION AND PROTEIN (10-15 MG/ML)",,2000,476,3.1,1C1A,53199.06
TRANSFERASE,"VAPOR DIFFUSION, SITTING DROP",277,2.46,50.04,X-RAY DIFFRACTION,Protein,"see reference 10, pH 5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",5,1999,1000,2.5,1C1B,116282.38
TRANSFERASE,"VAPOR DIFFUSION, SITTING DROP",277,2.31,46.83,X-RAY DIFFRACTION,Protein,"SEE REFERENCE 10, pH 5, VAPOR DIFFUSION, SITTING DROP, temperature 277K",5,1999,1000,2.5,1C1C,116320.45
OXIDOREDUCTASE,,,2.79,55.84,X-RAY DIFFRACTION,Protein,pH 8.70,8.7,2000,710,1.25,1C1D,74873.98
IMMUNE SYSTEM,"VAPOR DIFFUSION, HANGING DROP",277,2.61,52.88,X-RAY DIFFRACTION,Protein,"PEG 10K, IMIDAZOLIUM MALATE, pH 5.5, VAPOR DIFFUSION, HANGING DROP, temperature 277.15K",5.5,1999,435,1.9,1C1E,48008.32
SUGAR BINDING PROTEIN,,,2.3,46.57,X-RAY DIFFRACTION,Protein,pH 9.0,9,1999,137,1.6,1C1F,15356.08
CONTRACTILE PROTEIN,LIQUID DIFFUSION,291,3.7,68,X-RAY DIFFRACTION,Protein,"SPERMINE, pH 7.4, LIQUID DIFFUSION, temperature 18K",7.4,2000,1136,7,1C1G,131138.55
LYASE,"VAPOR DIFFUSION, SITTING DROP",293,2.03,39.41,X-RAY DIFFRACTION,Protein,"PEG 2000, MAGNESIUM CHLORIDE, TRIS-HCL, pH 8.5, VAPOR DIFFUSION, SITTING DROP",8.5,2000,310,1.9,1C1H,35994.73
HYDROLASE,"VAPOR DIFFUSION, HANGING DROP",291,2.45,49.78,X-RAY DIFFRACTION,Protein,"PEG 4000, n-octyl beta-D-glycopyranoside, CaCl2, pH 8.5, VAPOR DIFFUSION, HANGING DROP at 291K",8.5,1999,488,2.8,1C1J,56947.94
DNA BINDING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",277,2.18,43.58,X-RAY DIFFRACTION,Protein,"100 MM NA CACODYLATE, PH 6.5 200 MM NH4 ACETATE, 50 MM (NH4)2SO4, 10 - 14% PEG  3350 GRADIENT, 20% ETHYLENE GLYCOL, VAPOR DIFFUSION, HANGING DROP, temperature 277K",6.5,2000,217,1.45,1C1K,26846.15
SUGAR BINDING PROTEIN,,,2.28,46,X-RAY DIFFRACTION,Protein,pH 9.0,9,1999,137,1.5,1C1L,15716.39
HYDROLASE,,,2.22,44.57,X-RAY DIFFRACTION,Protein,"1.4 MG ENZYME IN 0.1 ML ACETATE BUFFER (0.05M) PLUS 0.0001 ML PRECIPITATING AGENT (SODIUM SULPHATE 1M), pH 5.50",5.5,1998,240,2.2,1C1M,26196.45
HYDROLASE/HYDROLASE INHIBITOR,,,2.03,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED FOR 10 DAYS IN A CHLORIDE-FREE SOLUTION OF 1.02 M  MGSO4 . 7 H2O,1.62 M ZNSO4 . 7 H2O, 0.50 M ZINC ACETATE DIHYDRATE, PH 5.11.  THE SOAKING SOLUTION WAS PERIODICALLY REPLACED.",5.11,1998,223,1.4,1C1N,23647
HYDROLASE/HYDROLASE INHIBITOR,,,2.04,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS TRANSFERRED TO 0.25 M MES, 1.53 M MGSO4 . 7 H2O, PH 4.98 AND  SOAKED FOR MANY DAYS DURING WHICH THE SOAKING SOLUTION WAS REPLACED TO REMOVE  BOUND BENZAMIDINE.",4.98,1998,223,1.4,1C1O,23580.8
HYDROLASE/HYDROLASE INHIBITOR,,,2.04,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED IN A SOLUTION OF 0.10 M MES, 2.02 M MGSO4 . 7 H2O, PH  5.90, 2.0 % DMSO, SATURATED IN HEMI-BABIM OVER A PERIOD OF SEVERAL DAYS WITH  SEVERAL REPLACEMENTS OF THE SOAKING SOLUTION.",5.9,1998,223,1.37,1C1P,23949.25
HYDROLASE/HYDROLASE INHIBITOR,,,2.03,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED IN A SOLUTION OF 0.10 M TRIS, 2.02 M MGSO4 . 7 H2O, PH  8.21, 2.0 % DMSO, SATURATED IN HEMI-BABIM OVER A PERIOD OF SEVERAL DAYS WITH  SEVERAL REPLACEMENTS OF THE SOAKING SOLUTION.",8.21,1998,223,1.37,1C1Q,23775.06
HYDROLASE/HYDROLASE INHIBITOR,,,2.04,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED IN A SOLUTION OF 0.24 M TRIS, 1.90 M MGSO4 . 7 H2O,  5.0 MM ZNSO4 . 7 H2O, PH 8.20 SATURATED IN HEMI-BABIM OVER A PERIOD OF SEVERAL  DAYS WITH SEVERAL REPLACEMENTS OF THE SOAKING SOLUTION.",8.2,1998,223,1.37,1C1R,23918.6
HYDROLASE/HYDROLASE INHIBITOR,,,2.08,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED IN A SOLUTION OF 1.25 M NA2PO4 . 7 H2O, 1.75 M KH2PO4,  2.0 % DMSO, SATURATED IN BABIM OVER A PERIOD OF 5 DAYS WITH SEVERAL  REPLACEMENTS OF THE SOAKING SOLUTION., pH 6.1",6.1,1999,223,1.63,1C1S,24007.65
HYDROLASE/HYDROLASE INHIBITOR,,,2.03,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED IN A SOLUTION OF 0.10 M TRIS, 2.02 M MGSO4 . 7 H2O, PH  8.18, 2.0 % DMSO, SATURATED IN BABIM OVER A PERIOD OF SEVERAL DAYS WITH  SEVERAL REPLACEMENTS OF THE SOAKING SOLUTION.",8.18,1998,223,1.37,1C1T,23820.12
BLOOD CLOTTING/HYDROLASE INHIBITOR,,,2.62,36.7,X-RAY DIFFRACTION,Protein,"THROMBIN WAS PURCHASED FROM HAEMATOLOGIC TECHNOLOGIES, INC. AND ACETYL-HIRUDIN  FROM BACHEM. THROMBIN WAS PREPARED AS DESCRIBED (SKRZPCZAK-JANKUN ET AL., 1991)  .THROMBIN (1.0 MG/ML IN 50 MM HEPES, 50 % GLYCEROL, PH 7.0) WAS INCUBATED  WITH 1.0 MM ACETYL-HIRUDIN, 1.0 MM HEMI-BABIM, 1.0 MM ZN+2 FOR 1 HR AT 4 DEG  C. GLYCEROL WAS REMOVED AND THE COMPLEX CONCENTRATED WITH A CENTRICON 10 (  AMICON) TO 8.6 MG/ML AS DETERMINED BY THE BIORAD PROTEIN ASSAY KIT USING  BOVINE SERUM ALBUMIN. CRYSTALS OF THROMBIN-ACETYL-HIRUDIN-HEMI-BABIM-ZN+2 WERE  GROWN IN HANGING DROPS BY VAPOR DIFFUSION AFTER STREAK SEEDING. THE DROPS WERE  MADE FROM 5 MICROLITERS OF COMPLEX AND 5 MICROLITERS OF RESERVOIR SOLUTION (  0.10 M TRIS,0.50 M NACL, 22 % (BY VOLUME) PEG 4K, PH 8.20).",8.2,1998,306,1.75,1C1U,35747
HYDROLASE/HYDROLASE INHIBITOR,,,2.64,53.51,X-RAY DIFFRACTION,Protein,"THROMBIN WAS PURCHASED FROM HAEMATOLOGIC TECHNOLOGIES, INC. AND ACETYL-HIRUDIN  FROM BACHEM. THROMBIN WAS PREPARED AS DESCRIBED (SKRZPCZAK-JANKUN ET AL., 1991)  .THROMBIN (1.0 MG/ML IN 50 MM HEPES, 50 % GLYCEROL, PH 7.0) WAS INCUBATED  WITH 1.0 MM ACETYL-HIRUDIN, 1.0 MM BABIM, 1.0 MM ZN+2 FOR 1 HR AT 4 DEG C.  GLYCEROL WAS REMOVED AND THE COMPLEX CONCENTRATED WITH A CENTRICON 10 (AMICON)  TO 8.6 MG/ML AS DETERMINED BY THE BIORAD PROTEIN ASSAY KIT USING BOVINE SERUM ALBUMIN. CRYSTALS OF THROMBIN-ACETYL-HIRUDIN-BABIM-ZN+2 WERE GROWN IN HANGING  DROPS BY VAPOR DIFFUSION AFTER STREAK SEEDING. THE DROPS WERE MADE FROM 5  MICROLITERS OF COMPLEX AND 5 MICROLITERS OF RESERVOIR SOLUTION (0.10 M TRIS,  0.50 M NACL, 22 % (BY VOLUME) PEG 4K, PH 7.00). A CO-CRYSTAL WAS SOAKED IN 30 %  PEG 4K,0.50 M NACL, 0.10 M TRIS, 46 MM ZN+2, PH 7.00, SATURATED IN BABIM AND  CONTAINING 2 % DMSO.",7,1998,306,1.98,1C1V,35857.48
HYDROLASE/HYDROLASE INHIBITOR,,,2.58,52.38,X-RAY DIFFRACTION,Protein,"THROMBIN WAS PURCHASED FROM HAEMATOLOGIC TECHNOLOGIES, INC. AND ACETYL-HIRUDIN  FROM BACHEM. THROMBIN WAS PREPARED AS DESCRIBED (SKRZPCZAK-JANKUN ET AL., 1991)  .THROMBIN (1.0 MG/ML IN 50 MM HEPES, 50 % GLYCEROL, PH 7.0) WAS INCUBATED  WITH 1.0 MM ACETYL-HIRUDIN, 1.0 MM BABIM, 1.0 MM ZN+2 FOR 1 HR AT 4 DEG C.  GLYCEROL WAS REMOVED AND THE COMPLEX CONCENTRATED WITH A CENTRICON 10 (AMICON)  TO 8.6 MG/ML AS DETERMINED BY THE BIORAD PROTEIN ASSAY KIT USING BOVINE SERUM  ALBUMIN. CRYSTALS OF THROMBIN-ACETYL-HIRUDIN-BABIM-ZN+2 WERE GROWN IN HANGING  DROPS BY VAPOR DIFFUSION AFTER STREAK SEEDING. THE DROPS WERE MADE FROM 5  MICROLITERS OF COMPLEX AND 5 MICROLITERS OF RESERVOIR SOLUTION (0.10 M TRIS,  0.50 M NACL, 22 % (BY VOLUME) PEG 4K, PH 7.00). A CO-CRYSTAL WAS SOAKED IN 30 %  PEG 4K,0.50 M NACL, 0.10 M TRIS, 0.4 MM ZN+2, PH 9.00, SATURATED IN KETO-  BABIM AND CONTAINING 2 % DMSO.",9,1998,306,1.9,1C1W,35953.88
OXIDOREDUCTASE,MACROSEEDED INTO BATCH,296,2.77,55.63,X-RAY DIFFRACTION,Protein,"1.2 M NA/K PHOSPHATE 50 MM CHES 2% ISOPROPANOL 5 MM NAD+ 10 MM L-3-  PHENYLLACTATE 3.75 MG/ML PROTEIN, pH 8.7, MACROSEEDED INTO BATCH, temperature 296K",8.7,2000,710,1.4,1C1X,75027.22
SIGNALING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",300,2.86,56.93,X-RAY DIFFRACTION,Protein,"mmePeg5000, magnesium chloride, calcium chloride, ammonium sulphate., pH 7.6, VAPOR DIFFUSION, HANGING DROP, temperature 300K",7.6,1995,244,1.9,1C1Y,28432.49
SIGNALING PROTEIN,"VAPOR DIFFUSION, HANGING DROP",277,8.86,84,X-RAY DIFFRACTION,Protein,"Ammonium sulfate, phosphate buffer, pH 7.2, VAPOR DIFFUSION, HANGING DROP, temperature 277.0K",7.2,1999,326,2.87,1C1Z,38582.7
DNA BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1999,128,,1C20,14983.27
HYDROLASE,"VAPOR DIFFUSION, SITTING DROP",298,2.07,40.58,X-RAY DIFFRACTION,Protein,"K2SO4, NaCl, methionine, N-octanoyl sucrose, PEG 4000, HEPES, CoCl2, VAPOR DIFFUSION, SITTING DROP, temperature 298K",,1999,263,1.8,1C21,29500.65
HYDROLASE,"VAPOR DIFFUSION, SITTING DROP",298,2.06,40.36,X-RAY DIFFRACTION,Protein,"HEPES, CoCl2, K2SO4, Methionine, PEG4000, NaCl, N-octanoyl sucrose, VAPOR DIFFUSION, SITTING DROP, temperature 298K",,1999,263,1.75,1C22,29554.62
HYDROLASE,"VAPOR DIFFUSION, SITTING DROP",298,2.06,40.36,X-RAY DIFFRACTION,Protein,"Hepes, NaCl, K2SO4, CoCl2, PEG 4000, methionine, N-octanoyl sucrose, VAPOR DIFFUSION, SITTING DROP, temperature 298K",,1999,263,2,1C23,29536.62
HYDROLASE,"VAPOR DIFFUSION, SITTING DROP",298,2.07,40.64,X-RAY DIFFRACTION,Protein,"Hepes, NaCl, CoCl2, K2SO4, PEG 4000, N-octanoyl sucrose, methionine, VAPOR DIFFUSION, SITTING DROP, temperature 298K",,1999,263,1.7,1C24,29520.62
HYDROLASE,,,2.91,40,X-RAY DIFFRACTION,Protein,"4 MICROLITERS PROTEIN (10 MG/ML IN 200 MM NACL, 1 MM DTT, 20 MM HEPES, PH 7.4) MIXED WITH 4 MICROLITERS WELL BUFFER (18-20% PEG 3350, 0.025% BETA-OCTYLGLUCOSIDE, 0.11 M SODIUM CITRATE, PH 5.8)",5.8,1998,161,2.3,1C25,19010.98
GENE REGULATION,"VAPOR DIFFUSION, HANGING DROP",298,2.23,44.86,X-RAY DIFFRACTION,Protein,"3.0 M SODIUM FORMATE 0.5 M AMMONIUM SULFATE 50 MM TRIS-HCL PH 8.8, VAPOR DIFFUSION, HANGING DROP at 298 K",8.8,1995,32,1.7,1C26,3823.27
HYDROLASE,"VAPOR DIFFUSION, SITTING DROP",298,2.06,40.42,X-RAY DIFFRACTION,Protein,"Hepes, NaCl, CoCl2, K2SO4, methionine, N-octanoyl sucrose, PEG 4000, VAPOR DIFFUSION, SITTING DROP, temperature 298K",,1999,263,1.95,1C27,29518.58
SERUM PROTEIN,"VAPOR DIFFUSION, HANGING DROP",277,2.78,55.75,X-RAY DIFFRACTION,Protein,"1.8% PEG 4K, 0.1M BIS-TRIS, pH 6.0, VAPOR DIFFUSION, HANGING DROP, temperature 4.0K",6,1998,405,2.1,1C28,46879.21
LYASE/LYASE INHIBITOR,"VAPOR DIFFUSION, HANGING DROP",295,2.51,51.07,X-RAY DIFFRACTION,Protein,"12% PEG 4000, 0.75MM SPERMINE, 50MM SODIUM BICINE, 1MM EDTA, 5MM DTT, pH 7.8, VAPOR DIFFUSION, HANGING DROP, temperature 295K",7.8,1999,665,2.3,1C29,72218.17
HYDROLASE INHIBITOR,"VAPOR DIFFUSION, HANGING DROP",296,3.44,64.21,X-RAY DIFFRACTION,Protein,"PEG 3000, SODIUM CITRATE, pH 6.23, VAPOR DIFFUSION, HANGING DROP, temperature 296.0K",6.23,1999,120,1.9,1C2A,13420.77
HYDROLASE,VAPOR DIFFUSION,279,6.15,79.99,X-RAY DIFFRACTION,Protein,"NaKPO4, VAPOR DIFFUSION, pH 8.0, temperature 279K",8,1999,540,4.5,1C2B,59421.13
ELECTRON TRANSPORT,,,2.08,40.78,X-RAY DIFFRACTION,,,,1973,0,,1C2C,12877.38
HYDROLASE/HYDROLASE INHIBITOR,,,2.05,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4.7H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING ~0.4 MM ZN(II), PH 9.93 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",9.93,1998,223,1.65,1C2D,23867.85
HYDROLASE/HYDROLASE INHIBITOR,,,2.05,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING ~0.4 MM ZN(II), PH 9.00 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",9,1998,223,1.65,1C2E,23802.44
HYDROLASE/HYDROLASE INHIBITOR,,,2.06,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING 9.0 MM ZN(II), PH 8.00 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",8,1998,223,1.7,1C2F,24029.41
HYDROLASE/HYDROLASE INHIBITOR,,,2.05,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING 46 MM ZN(II), PH 7.00 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",7,1998,223,1.65,1C2G,24029.41
HYDROLASE/HYDROLASE INHIBITOR,,,2.05,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING 46 MM ZN(II), PH 6.04 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",6.04,1998,223,1.4,1C2H,23933.26
HYDROLASE/HYDROLASE INHIBITOR,,,2.05,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING 46 MM ZN(II), PH 5.50 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",5.5,1998,223,1.47,1C2I,24022.54
HYDROLASE/HYDROLASE INHIBITOR,,,2.05,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING 100 NM ZN(II), PH 7.06 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY.",7.06,1998,223,1.4,1C2J,23898.5
HYDROLASE/HYDROLASE INHIBITOR,,,2.03,18,X-RAY DIFFRACTION,Protein,"BATCH, 1.51 M MGSO4 . 7 H2O, 0.59 MM TRYPSIN, 1.0 MM ZN(II) 5.0 % DMSO:  CRYSTALLIZATION SOLUTION WAS SATURATED IN KETO-BABIM. CRYSTAL WAS TRANSFERRED  TO SYNTHETIC MOTHER LIQUOR CONTAINING 2.11 M ZN(II), PH 3.85 AND SOAKED FOR  SEVERAL DAYS WITH SEVERAL REPLACEMENTS OF SOAKING SOLUTIONS. THE SOLUTION WAS  SATURATED IN KETO-BABIM AND CONTAINED 2.0 % DMSO TO INCREASE INHIBITOR  SOLUBILITY. UNDER THIS CONDITION KETO-BABIM UNDERGOES DECOMPOSITION TO 5-  AMIDINO-BENZIMIDAZOLE.",3.85,1998,223,1.65,1C2K,23691.82
HYDROLASE/HYDROLASE INHIBITOR,,,2.04,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  A CRYSTAL WAS SOAKED FOR 25 DAYS IN 2.11 M ZN+2, 250 MM CL-, PH 4.86 IN THE  ABSENCE OF AN INHIBITOR. THIS SOLUTION WAS REPLACED ONCE EVERY DAY OR TWO TO  REMOVE BOUND BENZAMIDINE AND TO INCORPORATE ZN+2 AT THE ACTIVE SITE.",4.86,1998,223,1.5,1C2L,23530.64
HYDROLASE/HYDROLASE INHIBITOR,,,2.03,18,X-RAY DIFFRACTION,Protein,"TRYPSIN-BENZAMIDINE, P3(1) 2 1 WERE GROWN BY VAPOR DIFFUSION, AS DESCRIBED FOR  P2(1) 2(1) 2(1) (LARGE CELL) (MANGEL, ET AL., BIOCHEMISTRY 29, 8351-8357, 1990)  THE CRYSTAL WAS SOAKED FOR 25 DAYS IN 2.11 M ZN+2, 250 MM CL-, PH 4.86 IN THE  ABSENCE OF AN INHIBITOR. THIS SOLUTION WAS REPLACED ONCE EVERY DAY OR TWO TO  REMOVE BOUND BENZAMIDINE AND TO INCORPORATE ZN+2 AT THE ACTIVE SITE. IT WAS  THEN SOAKED IN CHLORIDE-FREE SOLUTION OF 1.02 MGSO4 . 7H2O, 1.62 M ZNSO4 . 7  H2O, 0.50 M ZINC ACETATE DIHYDRATE, PH 4.98 FOR 10 DAYS DURING WHICH THE  SOAKING SOLUTION WAS REPLACED ONCE A DAY.",4.98,1998,223,1.4,1C2M,23550.14
ELECTRON TRANSPORT,,,,,SOLUTION NMR,Protein,,,1998,137,,1C2N,14917.98
HYDROLASE,VAPOR DIFFUSION,298,5.49,77.61,X-RAY DIFFRACTION,Protein,"1.4 M ammonium sulfate, VAPOR DIFFUSION, temperature 298K, pH 5.5",5.5,1999,2156,4.2,1C2O,237168.05
TRANSFERASE,BATCH,295,2.25,45.31,X-RAY DIFFRACTION,Protein,"PEG 4000, GLYCEROL, DTT, MES, NACL, pH 5, BATCH, temperature 22K",5,1999,1152,1.9,1C2P,129058.34
DNA-RNA HYBRID,,,,,SOLUTION NMR,DNA#RNA,,,1999,18,,1C2Q,5601.59
ELECTRON TRANSPORT PROTEIN (CYTOCHROME),,,3.17,61.26,X-RAY DIFFRACTION,Protein,,,1991,232,2.5,1C2R,25805
TRANSFERASE,"VAPOR DIFFUSION, SITTING DROP",295,2.24,45.18,X-RAY DIFFRACTION,Protein,"PEG 3350, IMIDAZOLE MALATE, CALCIUM CHLORIDE, MPD, pH 7.2, VAPOR DIFFUSION, SITTING DROP, temperature 22.0K, temperature 295K",7.2,1999,424,2.1,1C2T,48065.71
TOXIN,,,,,SOLUTION NMR,Protein,,,1999,35,,1C2U,3973.7
RIBOSOME,,,,,ELECTRON MICROSCOPY,RNA,,,2000,2904,7.5,1C2W,941718.5
RIBOSOME,,,,,ELECTRON MICROSCOPY,RNA,,,2000,120,7.5,1C2X,38790.09
TRANSFERASE,"VAPOR DIFFUSION, HANGING DROP",,2.6,53,X-RAY DIFFRACTION,Protein,"0.1 M TRIS-HCL PH 7.6, 17 % PEG 1500, 5 % PEG 400, VAPOR DIFFUSION, HANGING DROP",7.6,1999,3120,3.3,1C2Y,336860.38
LIGASE,BATCH,277,3.27,62.43,X-RAY DIFFRACTION,Protein,"PEG 8000, POTASSIUM CHLORIDE, MANGANESE CHLORIDE, TETRAETHYLAMMONIUM CHLORIDE,  L-ORNITHINE, ADP, BERYLLIUM FLUORIDE, HEPPS, pH 7.4, BATCH, temperature 277.0K",7.4,1999,5820,2,1C30,645305
DNA,,,,,SOLUTION NMR,DNA,,,2000,15,,1C32,4743.05
DNA,,,,,SOLUTION NMR,DNA,,,2000,15,,1C34,4743.05
DNA,,,,,SOLUTION NMR,DNA,,,2000,15,,1C35,5525.01
DNA,,,,,SOLUTION NMR,DNA,,,2000,15,,1C38,5525.01
